instances,FF,FFD,BF,BFD,NF,WF
N1C1W1_R,0.0009982585906982422,0.0,0.000997304916381836,0.0,0.0,0.000997304916381836
N2C1W2_Q,0.003989696502685547,0.0019943714141845703,0.0009996891021728516,0.001008749008178711,0.0005152225494384766,0.004984855651855469
N3C3W1_A,0.006013393402099609,0.0029594898223876953,0.0019941329956054688,0.001995086669921875,0.0009958744049072266,0.007003307342529297
N4C1W2_H,0.0354161262512207,0.026927947998046875,0.007014751434326172,0.008942127227783203,0.0,0.04281878471374512
N1W1B1R0,0.0,0.0,0.0,0.0,0.0,0.0
N2W4B3R0,0.0,0.0009965896606445312,0.0,0.0,0.0,0.0
N3W4B1R0,0.001997232437133789,0.0009953975677490234,0.0,0.0009963512420654297,0.0,0.0009970664978027344
N4W4B3R9,0.004987478256225586,0.007014036178588867,0.001992940902709961,0.0009982585906982422,0.0,0.005995273590087891
HARD0,0.0019936561584472656,0.0030214786529541016,0.0009679794311523438,0.0,0.0009961128234863281,0.0020270347595214844
HARD2,0.001995086669921875,0.002991199493408203,0.0,0.0009975433349609375,0.0,0.001962423324584961
Falkenauer_u1000_00,0.07979297637939453,0.07084298133850098,0.02194070816040039,0.02194356918334961,0.0,0.10599517822265625
Falkenauer_u1000_19,0.08507752418518066,0.07031655311584473,0.025928497314453125,0.0329134464263916,0.000997781753540039,0.11320996284484863
